City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Upernavik,GL,2020-02-23 08:30:37,72.79,-56.15,-15.36,88,60,3.62
164,Abrau-Dyurso,RU,2020-02-23 08:31:02,44.69,37.59,42.8,75,40,6.71
165,Kahului,US,2020-02-23 08:31:02,20.89,-156.47,70.0,77,75,6.93
166,Preobrazheniye,RU,2020-02-23 08:31:02,42.9,133.91,21.47,73,0,5.66
167,Nikolskoye,RU,2020-02-23 08:31:03,59.7,30.79,39.2,69,75,17.9
168,Riyadh,SA,2020-02-23 08:29:07,24.69,46.72,77.0,29,0,10.29
169,Moree,AU,2020-02-23 08:31:03,-29.47,149.85,68.0,88,75,8.05
170,Narasannapeta,IN,2020-02-23 08:31:03,18.42,84.05,87.46,33,0,12.1
171,Gurupi,BR,2020-02-23 08:31:03,-11.73,-49.07,72.36,95,100,1.77
172,Havre-Saint-Pierre,CA,2020-02-23 08:31:04,50.23,-63.6,26.6,92,1,17.22
173,Dourbali,TD,2020-02-23 08:31:04,11.81,15.86,84.87,10,0,16.08
174,Warrnambool,AU,2020-02-23 08:31:04,-38.38,142.48,70.0,74,30,11.83
175,Mar Del Plata,AR,2020-02-23 08:30:21,-38.0,-57.56,55.99,93,0,5.82
176,Williston,US,2020-02-23 08:27:06,48.15,-103.62,32.0,100,1,21.92
177,Quixada,BR,2020-02-23 08:31:05,-4.97,-39.02,71.98,96,97,1.61
178,Ponta Do Sol,PT,2020-02-23 08:31:05,32.67,-17.1,64.99,77,20,20.8
179,Fomboni,KM,2020-02-23 08:31:06,-12.28,43.74,86.04,70,100,12.06
180,Sitka,US,2020-02-23 08:31:06,57.05,-135.33,37.4,74,90,17.22
181,Airai,TL,2020-02-23 08:31:06,-8.93,125.41,74.86,86,41,2.84
182,Sept-Iles,CA,2020-02-23 08:31:06,50.2,-66.38,30.2,74,75,11.41
183,Esmeraldas,BR,2020-02-23 08:31:07,-19.76,-44.31,69.8,93,75,8.05
184,Marawi,PH,2020-02-23 08:31:07,8.0,124.29,82.99,78,18,3.0
185,Zonguldak,TR,2020-02-23 08:31:07,41.25,31.83,42.8,87,75,6.93
186,Kaitangata,NZ,2020-02-23 08:31:07,-46.28,169.85,60.01,66,62,3.0
187,Kvareli,GE,2020-02-23 08:31:07,41.95,45.82,38.46,79,100,4.38
188,Lakes Entrance,AU,2020-02-23 08:31:08,-37.88,147.98,70.45,75,63,3.51
