City_ID,Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description,Rain inches last 3 hours,Snow inches last 3 hours
372,372,Batagay-Alyta,67.8,130.41,-19.79,68,0,3.87,RU,2020-02-23 21:43:57,clear sky,0.0,0.0
373,373,Kahului,20.89,-156.47,80.6,54,20,6.93,US,2020-02-23 21:45:32,few clouds,0.0,0.0
374,374,Pisco,-13.7,-76.22,75.99,30,75,8.05,PE,2020-02-23 21:47:50,broken clouds,0.0,0.0
375,375,Anuchino,43.96,133.05,25.47,85,100,7.0,RU,2020-02-23 21:47:50,light snow,0.0,0.19
376,376,Dakar,14.69,-17.44,71.6,83,86,21.92,SN,2020-02-23 21:42:53,overcast clouds,0.0,0.0
377,377,Moose Factory,51.26,-80.61,14.0,78,1,12.75,CA,2020-02-23 21:47:51,clear sky,0.0,0.0
378,378,Half Moon Bay,37.46,-122.43,64.4,58,75,4.7,US,2020-02-23 21:47:51,broken clouds,0.0,0.0
379,379,Opotiki,-38.08,177.28,68.0,61,0,10.0,NZ,2020-02-23 21:47:51,clear sky,0.0,0.0
380,380,Beira,-19.84,34.84,84.2,79,75,21.92,MZ,2020-02-23 21:47:51,broken clouds,0.0,0.0
381,381,Espanola,35.99,-106.08,43.0,64,90,4.7,US,2020-02-23 21:47:15,overcast clouds,0.0,0.0
382,382,Nome,64.5,-165.41,3.2,84,90,10.29,US,2020-02-23 21:44:15,light snow,0.0,0.0
383,383,Jumla,29.27,82.18,28.18,69,70,4.99,NP,2020-02-23 21:47:52,broken clouds,0.0,0.0
384,384,Nanding,36.75,118.06,46.99,62,100,6.24,CN,2020-02-23 21:47:53,overcast clouds,0.0,0.0
385,385,Bidor,4.11,101.29,78.8,74,20,6.93,MY,2020-02-23 21:47:53,few clouds,0.0,0.0
386,386,Miandrivazo,-19.52,45.47,76.84,90,49,3.47,MG,2020-02-23 21:47:53,moderate rain,3.38,0.0
387,387,Puerto Narino,-3.77,-70.38,87.8,74,40,6.93,CO,2020-02-23 21:47:53,scattered clouds,0.0,0.0
388,388,Sosnogorsk,63.6,53.88,27.41,92,100,14.32,RU,2020-02-23 21:47:54,light snow,0.0,0.19
389,389,Puerto Princesa,9.74,118.74,77.0,83,75,4.7,PH,2020-02-23 21:47:54,broken clouds,0.0,0.0
390,390,Inirida,3.87,-67.92,83.98,78,100,3.89,CO,2020-02-23 21:47:54,moderate rain,3.44,0.0
391,391,Yerbogachen,61.28,108.01,18.16,93,100,11.1,RU,2020-02-23 21:47:54,light snow,0.0,0.31
392,392,Vila,42.03,-8.16,57.99,71,0,2.24,PT,2020-02-23 21:47:55,clear sky,0.0,0.0
393,393,Barcelos,41.54,-8.62,59.0,100,0,3.36,PT,2020-02-23 21:43:49,mist,0.0,0.0
394,394,Souillac,-20.52,57.52,77.0,88,40,4.7,MU,2020-02-23 21:47:55,scattered clouds,0.0,0.0
395,395,Mount Pleasant,32.79,-79.86,66.0,36,1,5.82,US,2020-02-23 21:45:09,clear sky,0.0,0.0
396,396,Poim,53.03,43.19,31.37,97,100,11.95,RU,2020-02-23 21:47:56,light snow,0.0,1.25
397,397,Nuuk,64.18,-51.72,15.8,85,87,11.41,GL,2020-02-23 21:47:56,light shower snow,0.0,0.0
398,398,Olafsvik,64.89,-23.71,30.24,95,100,6.78,IS,2020-02-23 21:47:57,snow,0.0,2.31
399,399,Chernyshevskiy,63.01,112.47,6.31,95,100,8.23,RU,2020-02-23 21:47:57,overcast clouds,0.0,0.0
400,400,Whitianga,-36.83,175.7,60.82,67,0,7.67,NZ,2020-02-23 21:47:57,clear sky,0.0,0.0
401,401,Tianpeng,30.99,103.94,55.0,87,20,4.99,CN,2020-02-23 21:47:00,mist,0.0,0.0
402,402,Aksehir,38.36,31.42,34.7,90,13,5.01,TR,2020-02-23 21:47:58,few clouds,0.0,0.0
403,403,Tual,-5.67,132.75,82.78,77,100,10.6,ID,2020-02-23 21:47:58,light rain,2.69,0.0
404,404,Udomlya,57.88,34.99,34.0,96,100,12.55,RU,2020-02-23 21:47:58,light snow,0.0,0.88
405,405,Orchard Homes,46.86,-114.05,46.4,52,90,4.83,US,2020-02-23 21:47:59,overcast clouds,0.0,0.0
406,406,Awbari,26.59,12.78,53.13,44,0,6.87,LY,2020-02-23 21:47:59,clear sky,0.0,0.0
407,407,Yumen,40.28,97.2,27.45,49,32,14.5,CN,2020-02-23 21:47:59,scattered clouds,0.0,0.0
