City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description,Rain inches last 3 hours,Snow inches last 3 hours
489,Scarborough,54.28,-0.4,41.0,77,35,3.36,GB,2020-02-24 01:00:30,scattered clouds,0,0
490,Balakhninskiy,58.01,114.28,7.5,97,100,3.6,RU,2020-02-24 01:00:30,light snow,0,0.19
491,Sanbu,33.46,119.15,59.0,99,100,4.0,CN,2020-02-24 01:00:30,light rain,0.19,0
492,Lhokseumawe,5.18,97.15,69.4,90,74,3.47,ID,2020-02-24 01:00:31,broken clouds,0,0
493,Shahreza,32.03,51.88,44.8,48,100,3.91,IR,2020-02-24 01:00:33,overcast clouds,0,0
494,Pitimbu,-7.47,-34.81,82.4,78,20,9.17,BR,2020-02-24 00:56:49,few clouds,0,0
495,Cervo,43.67,-7.41,48.99,91,1,1.01,ES,2020-02-24 01:00:33,clear sky,0,0
496,Saint-Esteve,42.71,2.84,54.0,37,0,3.36,FR,2020-02-24 01:00:33,clear sky,0,0
497,Hun,29.13,15.95,48.96,73,0,4.68,LY,2020-02-24 01:00:33,clear sky,0,0
498,Port Moresby,-9.44,147.18,84.2,83,40,13.87,PG,2020-02-24 01:00:34,scattered clouds,0,0
499,Nemuro,43.32,145.57,30.2,58,75,11.41,JP,2020-02-24 00:57:32,broken clouds,0,0
500,Marica,-22.92,-42.82,75.2,78,75,3.36,BR,2020-02-24 01:00:34,broken clouds,0,0
501,Tahoua,14.89,5.27,75.2,15,0,11.41,NE,2020-02-24 01:00:35,dust,0,0
502,Baykit,61.67,96.37,7.21,94,90,3.4,RU,2020-02-24 01:00:35,overcast clouds,0,0
503,Vanimo,-2.67,141.3,81.86,77,56,6.87,PG,2020-02-24 01:00:36,light rain,0.5,0
504,Katherine,-14.47,132.27,87.8,66,75,14.99,AU,2020-02-24 01:00:36,broken clouds,0,0
505,Havelock,34.88,-76.9,50.0,49,1,3.36,US,2020-02-24 01:00:36,clear sky,0,0
506,Murgab,37.5,61.97,42.8,93,23,4.12,TM,2020-02-24 01:00:36,few clouds,0,0
507,Curuca,-0.73,-47.85,81.95,84,0,14.09,BR,2020-02-24 00:59:43,clear sky,0,0
508,Hokitika,-42.72,170.97,61.5,76,85,8.14,NZ,2020-02-24 01:00:37,overcast clouds,0,0
509,Bihoro,43.82,144.1,28.4,54,75,13.87,JP,2020-02-24 01:00:37,broken clouds,0,0
510,Tarakan,3.3,117.63,78.51,76,21,9.46,ID,2020-02-24 01:00:37,few clouds,0,0
511,Soubre,5.79,-6.61,78.98,89,96,3.31,CI,2020-02-24 01:00:38,light rain,0.12,0
512,Fenton,42.8,-83.7,46.99,82,1,8.05,US,2020-02-24 01:00:38,clear sky,0,0
513,Jatiroto,-7.88,111.12,75.2,100,75,2.55,ID,2020-02-24 01:00:38,mist,0,0
514,Faya,18.39,42.45,60.8,72,53,5.82,SA,2020-02-24 01:00:38,broken clouds,0,0
